Bold Text,Description
each other or one another?,Some traditionalists say the former should apply only to two people (“Iniesta and Xavi hugged each other”) and the latter to more than two (“all 11 Spanish players hugged one another”). HW Fowler was unimpressed by this argument and in practice very few people make the distinction.The possessive is singular: they shook each other’s hand
EADS,European Aeronautic Defence and Space Company; the group includes the aircraft manufacturer Airbus and is the major partner in the Eurofighter consortium
earlier,often redundant: “they met this week” or “it happened this month” are preferable to “they met earlier this week” or “it happened earlier this month” and will save space
Earl’s Court,station and district Earls Court exhibition centre
earn,"rather than learn that a banker or footballer earns, say, £15m a year, readers have indicated that they would prefer us to say “is paid £15m a year” or “receives £15m a year”"
earned,not earnt
earring,no hyphen
Earth,"when talking about the planet, but earth in such idioms as down to earth, what on earth? etc"
east Africa,
East Anglia,
east Asia,or  south-east Asia  rather than the far east
east coast mainline,runs from London King’s Cross to Edinburgh. The principal operator is now London North Eastern Railway (LNER)
East End,inner east London north of the river; the equivalent district south of the Thames is south-east London
EastEnders,"TV soap; in real life, people from the East End are East Enders"
Easter,"The day between Good Friday and Easter Day is Holy Saturday, not Easter Saturday, which falls a week later"
eastern Europe,
East Jerusalem,
East Midlands,
East Riding of Yorkshire council,
easyCouncil,"approach to local government favoured by some Conservative authorities, modelled on the no-frills approach of budget airlines such as easyJet"
Easy Street,
Ebacc,English baccalaureate
eBay,but Ebay if you cannot avoid starting a sentence or headline with it
ebike,"strictly speaking, to qualify as an ebike, or electric bike, the bike must have pedals that can be used to propel it, its motor must have a maximum power output of 250 watts and should not be able to propel the bike at speeds of more than 15.5mph. Anything else is legally classed as a motorcycle or moped, although some models and adaptations blur the distinction"
Ebola,"a virus and a disease, Ebola haemorrhagic fever (EHF)"
ebook,"but  e-cigarette ,  e-commerce ,  e-learning ,  e-petition ,  e-reader"
eccles cake,
ecclesiastical titles,"Most Rev (archbishop), Right Rev (bishop), Very Rev (dean or provost), the Ven (archdeacon), the Rev John (or Joan) Smith – not “Rev John Smith”, “Rev Smith”, “the Revs Smith and Jones”. Surname only on subsequent mentions, except in leading articles"
"Eccleston, Christopher",actor
"Ecclestone, Bernie",former Formula One boss
e-cigarette,
